impressions,user_dau,new_user,total_init,ad_income
2615008,1107127,541211,388285,0
4748983,1620794,837516,715649,0
5780410,1649180,758299,862825,0
5687893,1581384,633286,846834,0
2521121,852722,234786,408178,0
2631682,811314,203562,414000,0
3123616,931159,257553,458086,0
4922675,1391164,492569,667285,0
4781811,1313491,416602,636403,0
2467699,759425,171638,370126,0
2171714,732474,162365,346544,0
1512628,717336,159732,323736,0
1421402,715837,161981,341416,0
1794150,889568,230454,409395,0
2968648,1287643,409649,605096,0
2962831,1238128,371601,564875,0
1429720,715356,162574,348157,0
1326297,689467,145912,321308,0
1362683,682164,142879,320139,0
1314101,674248,143411,307360,0
1632279,865378,217296,382393,0
2744573,1277790,392692,565514,0
2612846,1236411,359725,580529,0
1275087,714942,145825,341689,0
1306412,711444,144805,352064,0
1297146,709708,151701,353709,0
1288959,700996,143600,350775,0
1609862,879244,216395,431972,0
2798955,1334880,431830,647981,0
3079390,1410689,463271,680098,0
2859779,1337817,401407,631006,0
1256991,719878,151740,342664,0
1206391,683933,135596,313444,0
1110782,648770,125132,329336,0
1207336,778033,177025,332829,0
2266041,1129042,314387,511413,0
2237260,1100864,292024,515832,0
1096350,636192,119778,255028,0
1037283,619087,112983,311622,0
1043258,615976,114154,281186,0
1124779,669038,126350,248484,0
1545851,846174,185879,288331,0
2985290,1248082,354317,455262,0
2891261,1202712,321535,414649,0
1270796,673325,127497,237773,0
1212969,653286,124871,226676,0
1178459,628567,119227,226967,0
1131291,631058,119809,224533,0
1299263,763490,168618,256239,0
2333046,1142893,324001,390427,0
2396768,1123180,310718,387389,0
1137993,644694,126803,218024,0
1120283,616232,117605,212118,0
1139961,605866,116755,263698,0
1123240,599878,115672,283301,0
1179678,628205,125930,302956,0
1657964,811561,191627,373560,0
2803589,1206220,362300,608611,0
3115561,1285779,394590,684149,0
3045497,1285904,364533,697018,0
1450523,696861,137104,360820,0
1815178,807964,175769,336893,0
1598316,769737,151851,281775,0
2702731,1100993,278677,582054,0
2713220,1067981,256964,590521,0
1397233,670869,129982,372416,0
1396906,660958,125373,359868,0
1376597,648568,122308,344271,0
1268881,633929,116608,333458,0
1549584,725055,132845,381944,0
2497441,1067736,238709,558760,0
