impressions,userdau,newuser,totalinit,income
329694,90648,20015,43727,394.98
338810,88556,24225,45379,588.94
356901,77221,24760,46520,771.62
452135,75328,24584,55470,990.55
307510,80709,24165,42586,897.06
270382,90978,23189,37323,560.32
204947,108744,27093,36882,530.86
167143,122266,34183,41281,635.43
126846,118458,32153,41010,291.85
674175,679399,236924,315206,1353.42
146472,278404,61090,116828,219.53
143011,288766,62982,120157,258.3
223571,318980,68457,117491,740.38
214110,363604,56278,119985,366.98
298953,507114,294415,160779,636.15
642425,793526,236994,134865,718.9
532713,901250,266452,117992,1388.26
591780,954478,294949,137166,1744.62
2647610,934495,266446,505540,3633.51
2541698,916805,276062,520647,3857.51
2579891,938742,303823,546315,3937.97
2353548,922069,317223,538636,3543.27
2321123,832898,291037,492215,3011.88
1025802,451951,133130,256518,1425.37
904659,385185,103784,224211,1639.72
774417,374193,98480,205435,1290.53
810760,392741,108306,225729,1530.23
1741048,733411,272302,446322,3065.5
677182,347592,90093,160754,1153.81
499623,347551,90621,97974,822.07
507152,354500,92483,98990,898.56
1263170,699119,254425,228069,2474.82
588354,383769,104491,204090,1030.3
638342,411531,115714,195110,895.83
1227663,442410,134460,277327,1046.3
2097730,1012627,548140,494160,2303.64
